127.0.0.1 - - [27/Apr/2015:22:04:00 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:03 +0530] "GET /newmoodle/home.jsp HTTP/1.1" 200 14187
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/insert.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/img/itm1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/img/Capture1.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:04 +0530] "GET /newmoodle/img/itm2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:05 +0530] "GET /newmoodle/img/ggg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:05 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [27/Apr/2015:22:05:12 +0530] "POST /newmoodle/student_signup HTTP/1.1" 500 1501
