127.0.0.1 - - [05/May/2015:19:02:34 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:39 +0530] "GET /newmoodle/First.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/validate.js HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/style.css HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 200 21584
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/img/ggg.png HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/img/website_home_page5.jpg HTTP/1.1" 200 280014
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/img/website_home_page2.jpg HTTP/1.1" 200 289402
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/img/website_home_page4.jpg HTTP/1.1" 200 322183
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:40 +0530] "GET /newmoodle/img/website_home_page3.jpg HTTP/1.1" 200 325736
0:0:0:0:0:0:0:1 - - [05/May/2015:19:02:41 +0530] "GET /newmoodle/img/picto_navigation.png HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [05/May/2015:19:03:00 +0530] "GET /newmoodle/First.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [05/May/2015:19:03:01 +0530] "GET /newmoodle/validate.js HTTP/1.1" 404 993
